,Product Name,Prices
282,asian,799
283,REEBOK,"1,289"
284,aadi,343
285,REEBOK,"1,935"
286,JQR,999
287,asian,599
288,Asics,"2,492"
289,CAMPUS,764
290,asian,749
291,TPENT,444
292,asian,799
293,PUMA,"1,199"
294,Asics,"4,129"
295,AJANTA,289
296,asian,"1,049"
297,asian,649
298,REEBOK,"3,360"
299,JQR,458
300,asian,769
301,aadi,409
302,REEBOK,"2,208"
303,asian,"1,399"
304,asian,"1,299"
305,PUMA,"1,440"
306,asian,"1,099"
307,asian,869
308,REEBOK,"1,248"
309,asian,649
310,asian,669
311,asian,"1,149"
312,PUMA,"1,228"
313,CAMPUS,988
314,ADIDAS,"2,400"
315,asian,649
316,asian,759
317,asian,"1,099"
318,Vellinto,699
319,RED TAPE,"2,039"
320,aadi,688
321,aadi,369
322,AJANTA,289
323,SWIGGY,227
324,Asics,"4,719"
325,REEBOK,"1,047"
326,aadi,538
327,aadi,498
328,BIRDE,499
329,SUKUN,299
330,aadi,505
331,aadi,409
332,K- FOOTLANCE,309
333,BRUTON,149
334,CAMPUS,839
335,Skechers,"3,599"
336,Afrojack,679
337,NEW LIMITS,"1,599"
338,CAMPUS,"1,039"
339,asian,859
340,aadi,388
341,NEW LIMITS,"1,249"
342,CAMPUS,849
343,PUMA,"3,709"
344,density,414
345,asian,799
346,Afrojack,679
347,BROOKS,"4,081"
348,CAMPUS,989
349,CAMPUS,"1,289"
350,CAMPUS,989
351,amble,557
352,Skechers,"2,609"
353,K- FOOTLANCE,309
354,aadi,343
355,Unistar,499
356,Server,459
357,JQR,579
358,AJANTA,289
359,LANCER,783
360,CAMPUS,989
361,JQR,"1,249"
362,TR,399
363,aadi,399
364,REEBOK,"1,204"
365,REEBOK,"1,849"
366,BROOKS,"4,081"
367,aadi,688
368,asian,999
369,BIRDE,499
370,aadi,369
371,aadi,538
372,COLUMBUS,493
373,BRUTON,149
374,RED TAPE,"2,039"
375,action,"1,599"
376,aadi,505
377,CAMPUS,879
378,CAMPUS,"1,159"
379,PUMA,"1,720"
380,aadi,498
381,Afrojack,679
382,REEBOK,"1,680"
383,asian,599
384,WOODLAND,"2,149"
385,Sparx,"1,066"
386,aadi,855
